word,definition,pronunciation
Quinton,Five-stringed tenor viol,kuinton
Xylan,Gelatinous compound found in wood,slan
Monticolous,Mountain-dwelling,montikolous
Foveiform,Shaped like a depression or pit,fofeiform
Pismire,An ant; something or someone insignificant,pismire
Umbelliferous,Bearing umbels,umbeliferous
Exscind,To cut off; to uproot,eksssint
Nonpareil,Thing of unequalled excellence; paragon,nonpareil
Belliferous,Bringing war,beliferous
Prosopic,"Of, like or pertaining to the face",prosopik
Spadix,Fleshy spike of flowers,spatiks
Episcope,Instrument for projecting images of opaque objects,episkope
Gemmiferous,Bearing gems,jemiferous
Iseidomal,Line connecting points of equal visibility of a spectacle,iseitomal
Occasionalism,Belief that interactions between mind and body are intermediated by God,okkaksionalism
Chaomancy,Divination by examining phenomena of the air,shaomans
Torus,Rounded swelling; lowest moulding of a column,torus
Juba,Dance with clapping and leg slapping performed by Southern blacks,juba
Typhogenic,Causing fever,tfojenik
Abra,Narrow mountain pass,abra
Venville,Land tenure system in Dartmoor granting privileges over forested lands,fenfile
Vibronic,Of or caused by electronic vibration,fibronik
Zappy,Lively; entertaining,sap
Cortege,Train of attendants; procession,korteje
Jebel,Hill or mountain,jebel
Alvine,Of the belly,alfine
Synallagmatic,Mutually or reciprocally obligatory; bilateral,snalakmatik
Limacology,Study of slugs,limakoloj
Hymnal,Collection of church hymns,hmnal
Maritage,Right of feudal lord to arrange marriages of vassals,maritaje
Xerocopy,Photocopy,serokop
Kiang,Wild Tibetan horse,kiank
Relationism,"Doctrine that relations between entities (space, time) are themselves entities",relaxionism
Jeepable,Able to be traversed by jeep,jepable
Septemfluous,In seven streams,septemfluous
Reguerdon,To reward,rekuerton
Yordim,Emigrants who leave Israel,yortim
Thermology,Study of heat,thermoloj
Ambiloquous,Using dubious or ambiguous expressions,ambilokuous
Hawkshaw,Detective,hakksha
Evince,Indicate or exhibit,efinse
Lapifidication,Petrifaction,lapifitikaxion
Latria,"Highest degree of veneration, assigned to God over saints",latria
Ataraxia,Tranquility; freedom from anxiety; stoicism,ataraksia
Acerate,"Of, like or resembling a needle",aserate
Penelopize,To create work as an excuse to deter suitors,penelopise
Mooncalf,False conception or fleshy mass in the womb,monkalf
Gastriloquist,Ventriloquist,kastrilokuist
Lithophyte,Plant that grows on rock,lithofte
Hight,Named; called; to command or call,hit
Gnosticism,Belief that freedom derives solely from knowledge,nostisis
Rident,Laughing or smiling radiantly; beaming,ritent
Prescriptivism,Belief that moral edicts are merely orders with no truth value,preskriptifism
Circumincession,The reciprocal existence of three parts of the Trinity in each other,sirkuminseksion
Quaestuary,Money-making; money-seeking; in business only for profit,kuaestuar
Lyncean,Lynx-like; sharp-sighted,lnsean
Factotum,Lackey; person employed to do various jobs,faktotum
Mellification,Honey-making,melifikaxion
Whichsoever,Every one that,wikshsoefer
Frescade,A cool walk; cool or shady place,freskate
Discerptible,Able to be separated,tisserptible
Paraesthesia,Tingling sensation on the skin,paraestheksia
Lucimeter,Instrument for measuring light intensity,lusimeter
Lupanarian,"Of, like or pertaining to a brothel",lupanarian
Bactericide,Killer of bacteria,bakterisite
Dririmancy,Divination by observing dripping blood,tririmans
Zoothapsis,Premature burial,sothapsis
Impugn,To oppose; to attack by words or arguments,impun
Elenctic,"Of, like or pertaining to argument; cross-examination or refuting",elenktik
Iconophilism,A taste for pictures and symbols,ikonofilism
Retromorphosis,Change for the worse,retromorfosis
Utriform,Shaped like a leather bottle or flask,utriform
Francophile,One who loves France or the French,frankofile
Tuck,Part of ship where ends of lower planks meet under the stern,tuk
Drap-de-Berry,Old woollen cloth,"trap,te,ber"
Entoptic,Within the eyeball; visibility of objects in the eye,entoptik
Vasiform,Shaped like a duct or vase,fasiform
Pennaceous,Featherlike,penaseous
Flânerie,Idling; strolling about aimlessly,flanerie
Obiter,In passing; incidentally,obiter
Zizz,Sparkle; vim,siz
Farctate,Full; stuffed,farktate
Amorce,Percussion cap for a toy pistol,amorse
Heteronomous,Subject to different or foreign laws,heteronomous
Forswink,To exhaust by labour,forswink
Orchesis,Act of dancing or rhythmical moving of the body,orkshesis
Madder,Red dye made from brazil wood; a reddish or red-orange colour,mater
Grilse,Salmon first returning to the river from the sea,krilse
Monostichous,In one line; in one row,monostikshous
Semiotics,Study of signs and symbols,semiotiks
Hoplology,The study of weapons,hoploloj
Obstreperous,Noisy; unruly,obstreperous
Ochlophobia,Fear of crowds,okshlofobia
Nictate,To wink or blink,niktate
Quoin,A wedge; salient angle of a building; cornerstone,kuoin
Topology,Study of places and their natural features,topoloj
Gemelliparous,Having given birth to twins,jemeliparous
Viridity,Greenness; freshness,firitit
Saron,Indonesian instrument with seven bronze bars struck with mallet,saron
Ostler,Person who takes care of horses at an inn and/or sells oats,ostler
Shuck,Nonsense,shuk
Knosp,Unopened bud of a flower; ornament shaped like a bud,nos
Etiology,The science of causes; especially of disease,exioloj
Apselophesia,Loss of sense of touch,apselofeksia
Alee,On or toward the lee,ale
Iiwi,Bright red Hawaiian bird,iwi
Quillet,Subtle point in argument; a quibble,kuilet
Immortelle,Everlasting dried flower,imortele
Tuant,"Of writing, keen or trenchant",tuant
Zootheism,Attribution of divine qualities to animals,sotheism
Coccineous,Bright red,koksineous
Ophidiarium,Snake-house,ofixiarium
Staphylorrhaphy,Surgical closure of a cleft palate,staflorhaf
Agamogenesis,Reproduction by non-sexual means,akamojenesis
Tumescent,Tending to swell,tumessent
Catoptric,"Of, like or pertaining to reflection or reflected light",katoptrik
Lecanomancy,Divination using water in a basin or pool,lekanomans
Hellkite,Kite of infernal breed; extremely cruel person,helkite
Innoxious,Harmless,inoksious
Metempsychosis,Passing of soul after death into another body,metempskshosis
Yoicks,Expression of surprise or excitement,yoiks
Atheling,Anglo-Saxon prince or nobleman,athelink
Yapness,Hunger,yapnes
Jack-block,Pulley system for raising topgallant masts,"jak,blok"
Sententia,Opinion; aphorism,sententia
Slickenside,Smooth; polished rock surface produced by friction,slikensite
Crepitus,Fart,krepitus
Unguligrade,Walking on hoofs,unkulikrate
Conclamation,A shout of many voices together,konklamaxion
Whitleather,Leather dressed with alum,witleather
Nadir,Lowest point; point diametrically opposite the sun,natir
Gunwale,Upper edge of the side of a ship,kunwale
Guenon,"Small, slender bearded African monkey",kuenon
Ergonomics,Study of people at work,erkonomiks
Electromyograph,Instrument for diagnosing neuromuscular disorders,elektromyokraf
Rhubarb,Nonsense; actors' nonsense background chatter,rhubarb
Pam,Card game in which jack of club has highest value,pam
Chirality,Chemical property of structural handedness,shiralit
Elastane,Highly elastic artificial cotton-like fabric,elastane
Rusticate,To send into the country; to banish to rural areas,rustikate
Xeme,Fork-tailed gull,seme
Heliosis,Exposure to the sun; sunburn,heliosis
Coterie,A social or literary circle,koterie
Utraquist,Person speaking two or both of two languages,utrakuist
Omphalism,Centralization in government,omfalism
Fixity,Fixed state; stability; permanence,fiksit
Urticaceous,"Of, like or pertaining to nettles",urtikaseous
Ebullition,Boiling over; agitation; outbreak,ebulixion
Allemain,Enormous pudding out of which acrobats leap,alemain
Fissiped,Animal with separated toes,fisipet
Flocculate,To collect or mass together in tufts or masses,flokkulate
Limosis,Abnormally ravenous appetite,limosis
Gaff,Spar on which head of fore-and-aft sail is extended,kaf
Karyotype,"Appearance, number and arrangements of chromosomes",karyotpe
Quinnet,Wedge,kuinet
Galeiform,Shaped like a helmet,kaleiform
Resile,To recoil; to rebound; to draw back from a position,resile
Equison,Horse groom; jockey,ekuison
Surculose,Having or producing suckers,surkulose
Underbreath,Subdued voice; rumour,unterbreath
Piend,A salient angle,pient
Thalassometer,Instrument for measuring tides,thalasometer
Frowst,To luxuriate in hot stuffiness and stupefaction,frost
Pyrene,Fruit-stone,prene
Anthropogenesis,Origin of human beings,anthropojenesis
Tympaniform,Drum-like; shaped like a drum,tmpaniform
Potamic,"Of, like or pertaining to rivers",potamik
Kerygma,Preaching of the Christian gospel,kerkma
Ruthful,Piteous; sorrowful,ruthful
Whipsaw,Narrow saw for cutting timber lengthwise,wipsa
Suable,That may be sued,suable
Physiognomy,"General appearance of anything, especially the face",fksioknom
Luxate,To displace or dislocate,luksate
Paregoric,Soothing; lessening pain,parekorik
Candent,Heated to whiteness,kantent
Necrophagous,Feeding on the dead,nekrofakous
Quinquiplicate,To multiply by five,kuinkuiplikate
Tabard,Short-sleeved garment worn over armour,tabart
Lutose,Covered with mud or clay; muddy,lutose
Phalanstery,Dwelling of a communal group or phalanx of individuals,falanster
Odonterism,Chattering of the teeth,otonterism
Bionomics,Study of organisms interacting in their environments,bionomiks
Pseudochromaesthesia,Mental association of sounds with colours,pseutokshromaestheksia
Viscerotonic,"Having a comfort-loving, easygoing personality",fisserotonik
Quab,To throb; to quiver,kuab
Ademption,Revocation of donation by donor,atempxion
Knobber,A stag in its second year,nobe
Vivat,Long live,fifat
Damson,Dark brownish purple,tamson
Ischiorrhogic,"Of an iambic line, having spondees in the second, fourth or sixth place",iskhiorhojik
Hector,"To intimidate by bluster, pomp or arrogance",hektor
Lexis,Way in which a piece of writing is expressed in words,leksis
Roundelay,Song with a refrain,rountela
Cardophagus,Donkey; something that eats thistles,kartofakus
Warray,To make war on,wara
Festilogy,Treatise on ecclesiastical festivals,festiloj
Collutory,Mouthwash,kolutor
Symphonia,Old name for the hurdy-gurdy or other musical instruments,smfonia
Royal,Small sail on royal mast just above topgallant sail,royal
Equine,"Of, like or pertaining to horses",ekuine
Palpebration,Winking,palpebraxion
Teratogenic,Producing monsters or abnormal growth,teratojenik
Chiliarchy,Government by one thousand people,shiliarksh
Kurgan,Prehistoric burial mound,kurkan
Turdine,"Of, like or pertaining to thrushes",turtine
Quat,A pimple; an insignificant person,kuat
Undine,Female water spirit,untine
Gerenuk,Long-necked antelope with large eyes,jerenuk
Silvicolous,Living in woods,silfikolous
Ophiomancy,Divination by watching snakes,ofiomans
Peck,Unit of dry measure equal to 8 quarts,pek
Aspidate,Shield-shaped,aspitate
Pseudologia,Lying in speech or writing,pseutolojia
Epimyth,Moral of a story or work of literature,epimth
Forfaiting,Export finance where debts on goods are transacted,forfaitink
Salinometer,Instrument for measuring amount of salt in a solution,salinometer
Zurla,Yugoslavian shawm,surla
Miter,High headdress worn by bishop or archbishop,miter
Galericulate,Topped by a hat-like covering,kalerikulate
Noisette,Small piece of lamb cut off the bone and rolled,noisete
Esotropic,Squinting,esotropik
Wranglership,Position of being a wrangler at Cambridge University,ranklerkshi
Autecology,Study of ecology of one species,autekoloj
Diphyodont,Having second set of teeth that replaces the first,tifyotont
Daphnomancy,Divination using a laurel,tafnomans
Amicicide,Murder of a friend,amisisite
Chiliasm,Belief that Jesus will reign on Earth for a thousand years,shiliasm
Urogenous,Producing or produced in urine,urojenous
Heddle,Series of vertical cords to receive warp-thread,hetle
Lamina,Thin plate or layer,lamina
Undecennial,Happening every eleven years,untesenial
Zooscopy,Hallucination that one is seeing animals,soskop
Vardle,Bottom hinge of a gate,fartle
Macerator,A person who fasts and becomes emaciated,maserator
Infra,Below; later in a text,infra
Pyrosis,Heartburn,prosis
Octapla,Multi-lingual book in eight texts,oktapla
Sanable,Able to be healed,sanable
Umstroke,Circumference; edge,umstroke
Nucivorous,Nut-eating,nusiforous
Lamella,Thin plate or layer,lamela
Hosticide,Killer of one's enemy,hostisite
Bialate,Two-winged,bialate
Verbarian,Coiner of words,ferbarian
Flabellation,The act of fanning,flabelaxion
Logotype,Body of text with frequently occurring word or syllable,lokotpe
Virilism,Outdated name for a form of hermaphroditism,firilism
Balbutient,Stammering,balbutient
Rhodopsin,Visual purple,rhotopsin
Gerocomy,Study of old age,jerokom
Historiography,Study of writing history,historiokraf
Urceus,Single-handled jug or pitcher,urseus
Nidatory,"Of, like or pertaining to nests",nitator
Pogonotrophy,Growing of a beard,pokonotrof
Yapp,Limp leather binding in which cover overlaps edges of book,yap
Thanatophobia,Fear of death,thanatofobia
Nautiliform,Having the shape of a nautilus,nautiliform
Sinistrorse,Rising spirally and turning from right to left,sinistrorse
Sellate,Having a saddle,selate
Zymotic,"Of, like or pertaining to fermentation",smotik
Flèche,Narrow wooden spire on church roof,flekshe
Vicariant,Of or pertaining to a deputy,fikariant
Horrent,Bristling,horent
Beckets,Rope handles,bekets
Averruncate,To ward off; to uproot,aferunkate
Rutilant,Shining; glowing ruddily,rutilant
Novena,Series of Catholic church services held on nine successive days,nofena
Scenography,Representation of an object in perspective,ssenokraf
Luminiferous,Bearing or bringing light,luminiferous
Krasis,Addition of water to sacramental wine,krasis
Inverecund,Shameless; unabashed,inferekunt
Tropophyte,Plant adapted to alterations of moisture and drought,tropofte
Tubulate,To form into a tube; to provide with a tube,tubulate
Escalier,Staircase,eskalier
Trews,Close-fitting trousers with tartan pattern,tres
Douceur,Gentleness or sweetness; a subtly offered bribe,touseur
Kurtosis,Relative degree okf sharpness of peak of distribution curve,kurtosis
Dreamery,A place favourable to dreams,treamer
Odalisque,Female slave in a harem,otaliskue
Croche,Knob at top of a deer's horn,krokshe
Retroussé,Turned up; especially of the nose,retrouse
Foliform,Shaped like a leaf,foliform
Yucca,Woody North American plant,yukka
Entomophagous,Eating insects,entomofakous
Velivolant,Flying with sails,felifolant
Politicide,Killing of people because of their political beliefs,politisite
Quartziferous,Bearing quartz,kuartsiferous
Tritheism,Belief that the members of the Trinity are separate gods,tritheism
Embrasure,Recess of a door or window,embrasure
Chondroid,Like or resembling cartilage,shontroit
Grognard,Old or veteran soldier,kroknart
Baldric,Shoulder strap for holding sword,baltrik
Tympany,Swelling with pride or with pregnancy,tmpan
Chrisomalis,The loser who wrote this damn list,shrisomalis
Barratry,Inciting riot or violence,baratr
Jnana,Knowledge obtained through meditation,jnana
Myelic,"Of, like or pertaining to the spinal cord",myelik
Modish,Fashionable; stylish,motiksh
Orguinette,"Mechanical instrument with reeds and bellows, playing music from a paper roll",orkuinete
Vagous,"Irregular, unsettled",fakous
Octodont,Degu,oktotont
Gravid,Pregnant,krafit
Numenism,Belief in local deities or spirits,numenism
Necessarianism,Theory that actions are determined by prior history; fatalism,nesesarianism
Narratology,Study of narrative structure of texts,naratoloj
Supervenient,"Extraneous, additional or unexpected",superfenient
Misacceptation,Misinterpretation,misakseptaxion
Chaffer,To bargain or haggle,shafer
Walleteer,One who carries a wallet,waleter
Caudiform,Tail-like; tail-shaped,kautiform
Acidaemia,Undue acidity of blood,asitaemia
Jacquard,Intricately-woven variegated fabric; loom for making jacquard,jakkuart
Waldflute,Organ flute stop of 4 feet in length,waltflute
Melisma,Tune; melodic embellishment; ornamentation,melisma
Rhema,Word; verb,rhema
Crenitic,"Of, like or pertaining to mineral springs",krenitik
Dosimeter,Instrument for measuring dose of radiation,tosimeter
Antipudic,Concealing private parts of the body,antiputik
Chrysography,Writing in gold or silver letters,shrsokraf
Equiponderate,To be equal in weight; to balance,ekuiponterate
Gantry,Shelving for barrels; shelf where drinks are displayed,kantr
Washeteria,Laundromat or launderette,waksheteria
Obstetrics,Study of midwifery,obstetriks
Euripus,Arm of the sea with strong currents,euripus
Larrup,To flog or thrash,larup
Pronograde,Walking with body parallel to ground,pronokrate
Panatella,Long; thin cigar,panatela
Bullock,An ox or castrated bull,bulok
Noosphere,Sum of human intellectual activities,nosfere
Dedition,Surrender; capitulation,tetixion
Raglan,Having sleeves going all the way to the neck,raklan
Nagor,Reedbuck of equatorial Africa,nakor
Yeowoman,Female yeoman,yeowoman
Wurst,Large sausage,wurst
Gummosity,Gumminess,kumosit
Encephalograph,Instrument for recording brain images,ensefalokraf
Gegenschein,Glow of zodiacal light seen opposite the sun,jekenskhein
Gault,Heavy clay used for bricks,kault
Volumenometer,Instrument for measuring volume of a solid,folumenometer
Visna,Fatal brain disease of sheep,fisna
Hypotyposis,Vivid description of a scene,hpotposis
Rhonchial,"Of, like or pertaining to snoring",rhonkshial
Dasyure,Flesh-eating marsupial,tasyure
Lucriferous,Lucrative; yielding profit,lukriferous
Anacampserote,Something which can bring back a lost love,anakampserote
Interjaculate,To ejaculate in interruption,interjakulate
Fardage,Wood placed in bottom of ship to keep cargo dry,fartaje
Fulvous,Dull yellow; tawny,fulfous
Floromancy,Belief that flowers have feelings,floromans
Nemoricolous,Living in forests or groves,nemorikolous
Mamelle,Rounded hill,mamele
Xenomorphic,Having a form not its own,senomorfik
Cannular,Hollow or tube-shaped,kanular
Objicient,Objector,objisient
Arete,Sharp mountain ridge,arete
Inbeing,Inherence; inherent existence,inbeink
Multivolent,Having several differing opinions; disagreeing,multifolent
Angiology,Study of blood flow and lymphatic system,anjioloj
Komatik,Sled with wooden runners,komatik
Adventitious,Accidental; casual,atfentixious
Unicorn,Carriage drawn by three horses in triangular formation,unikorn
Reflux,An ebb; boiling using a condenser to avoid liquid loss,refluks
Whereagainst,Against which,wereakainst
Virgule,Forward slash,firkule
Fructuary,Person enjoying the fruits of anything,fruktuar
Irremoval,Absence of removal,iremofal
Jure,By law,jure
Nosocomium,Hospital,nosokomium
Jagger,Toothed chisel,jajer
Zyzzyva,South American weevil,szfa
Epitimesis,Adverse criticism,epitimesis
Lockram,Coarse linen,lokram
Epichoric,Belonging or pertaining to a rural area,epikshorik
Incuse,Impressed or stamped upon,inkuse
Infinitism,Belief that God or the universe are infinite,infinitism
Itai-itai,Disease caused by cadmium poisoning and resulting in back pain,"itai,itai"
Jasperated,Mottled; streaked with various colours,jasperatet
Lampas,Flowered silk fabric,lampas
Sal,A salt,sal
Jockteleg,Large clasp knife,joktelek
Solipsism,Theory that self-existence is the only certainty,solipsism
Evanescent,Tending to vanish like vapour,efanessent
Chirognomy,Divination by studying the hands,shiroknom
Seiche,Periodic side-to-side fluctuation of body of water,seikshe
Fugacious,Inclined to run away or flee,fukaksious
Hypergamy,Marriage of a man to a woman of lower status,hperkam
Tritavia,Four-greats grandmother,tritafia
Primiparous,Having borne only one child,primiparous
Lappaceous,Prickly,lapaseous
Rosette,Knot or radiating loops of ribbon concentrically arranged,rosete
Hyperalgia,Extreme sensitivity to pain,hperaljia
Canonicate,The rank or office of a cannon,kanonikate
Windcheater,Windproof jacket,wintksheater
Inorthography,Incorrect spelling,inorthokraf
Clinometer,Instrument used to measure slopes and elevations,klinometer
Totemism,Belief that a group has a special kinship with an object or animal,totemism
Accentor,Songbird,aksentor
Zincic,"Of, pertaining to or containing zinc",sinsik
Floristry,The art of cultivating and selling flowers,floristr
Hendecarchy,Government by eleven people,hentekarksh
Groggery,Low public-house,krojer
Macromania,Delusion that objects are larger than natural size,makromania
Jigamaree,A thingamajig; a cunning manoeuvre,jikamare
Nosocomial,"Of, like or pertaining to a hospital",nosokomial
Orichalc,Gold-coloured alloy; brass,orikshalk
Tristichous,Having or in three rows,tristikshous
Sneap,To nip; pinch; put down; repress; snub,sneap
Nutation,Fluctuation or nodding in movement of earth's pole,nutaxion
Zopissa,Combination of wax and pitch used for medicinal purposes,sopisa
Potter,To busy oneself with trifling tasks,poter
Purpure,Heraldic colour purple,purpure
Usucaption,Acquisition of property by long usage and enjoyment,usukapxion
Tonus,Normal elasticity of healthy muscle at rest,tonus
Ternary,In threes; having three components; having three as a base,ternar
Kincob,Embroidered silk with gold and silver threads,kinkob
Geophagy,Practice of feeding on soil; dirt-eating,jeofaj
Obscurantism,Policy of withholding knowledge from the public,obskurantism
Hippoid,"Equine; of, like or pertaining to horses",hipoit
Intorted,Twisted inwards; involved,intortet
Deliration,Madness; aberration,teliraxion
Livedo,Pathological blueness of skin,lifeto
Bathymeter,Instrument for recording contours of deep oceans,bathmeter
Onymancy,Divination by the fingernails,onmans
Gnathal,"Of, like or pertaining to the jaws",natha
Iambize,To satirize or lampoon; to ridicule in iambic verse,iambise
Comprecation,Prayer meeting,komprekaxion
Verbomania,Craze for words,ferbomania
Ocreate,Wearing boots or leggings,okreate
Unipara,Woman having given birth only once,unipara
Emmenology,The study of menstruation,emenoloj
Supererogation,Doing more than needed to complete a task,supererokaxion
Raceme,Central stem with flowers on small stalks,raseme
Contemn,To despise or scorn,kontemn
Nep,Small lump on cotton fibre,nep
Delibate,To sip,telibate
Damine,Having antlers like a fallow deer,tamine
Vagant,"Roaming, wandering",fakant
Retiracy,Seclusion; enough to retire on,retiras
Gules,Heraldic name for the colour red,kules
Sederunt,Sitting of a court; gathering; long discussion,seterunt
Tralatition,Metaphor,tralatixion
Vaporetto,Motorboat used in Venetian canals,faporeto
Whereuntil,To what,wereuntil
Metagrobolize,To mystify; to puzzle out,metakrobolise
Quintic,Of the fifth order or degree,kuintik
Negatory,No; expression of negation,nekator
Kalology,Study of beauty,kaloloj
Mull,To moisten leather to make it more supple,mul
Janiform,Having two faces,janiform
Tabellion,Scrivener,tabelion
Quinoa,Grain seeds of the goosefoot plant,kuinoa
Attrist,To sadden,atrist
Whinyard,Short sword,winyart
Binarchy,Government by two people; diarchy,binarksh
Gleet,Mucus discharge from the urethra,klet
Typhomania,Delirious state resulting from typhus fever,tfomania
Peripetia,Sudden change of fortune,peripetia
Whinstone,Hard and compact rock,winstone
Hexaemeron,Period of six days of creation,heksaemeron
Monkery,Monks in general; monasticism; behaviour of monks,monker
Ubi,Whereabouts; permanent or present location,ubi
Planish,To polish; to flatten,planiksh
Polytocous,Producing many or several at a birth,poltokous
Acidimeter,Instrument for measuring concentration of acids,asitimeter
Jactation,Throwing; boasting,jaktaxion
Nimonic,Of alloys used in high-temperature work,nimonik
Epinician,Celebrating a triumph,epiniksian
Reedbuck,Antelope frequenting reeds,retbuk
Dysaesthesia,Loss of sensation,tsaestheksia
Unhouseled,Not having received the Eucharist shortly before death,unhouselet
Duck,Amphibious military truck,tuk
Caulotaxy,Disposition and location of branches on a stem,kaulotaks
Eristic,"Of, like or pertaining to controversy or argument",eristik
Lignivorous,Feeding on wood,likniforous
Paparchy,Government by the pope,paparksh
Gelid,Extremely cold,jelit
Frangible,Easily broken,franjible
Alopecoid,Of or resembling a fox,alopekoit
Ascham,Box for keeping bows and arrows dry,askham
Kickie-wickie,A wife,"kikie,wikie"
Diamanté,Glittering; decoration using glitter,xiamante
Wilder,To cause to stray,wilter
Ineunt,Entering,ineunt
Quatenus,In the capacity of; in so far as,kuatenus
Intrant,Entering; penetrating,intrant
Renascent,Coming into renewed life or vitality,renassent
Subreptary,Adapted to crawling,subreptar
Bumpkin,Spar projecting from stern of ship,bumpkin
Ouroboros,Snake eating own tail symbolizing totality or completion,ouroboros
Hieroscopy,Divination using entrails,hieroskop
Psychopathology,Study of mental illness,pskshopatholoj
Piteous,Arousing or deserving pity,piteous
Hyperacusis,Abnormally good sense of hearing,hperakusis
Noogenesis,Evolution of the mind,nojenesis
Gemmology,Study of gems and jewels,jemoloj
Terricolous,Living in or on the soil,terikolous
Homonym,Words having the same sound but different meanings,homonm
Horometry,Time measurement,horometr
Immaterialism,The doctrine that there is no material substance,imaterialism
Exobiology,Study of extraterrestrial life,eksobioloj
Witling,One who utters markedly feeble witticisms,witlink
Odology,Science of the hypothetical mystical force of od,otoloj
Lodesman,Pilot,lotesman
Yill,To ply with ale,yil
Wondermonger,One who promises miracles,wontermonjer
Irrite,Void,irite
Ondoyant,Wavy,ontoyant
Jambiya,Curved dagger with two edges,jambiya
Somedeal,Somewhat,someteal
Brocade,Rich silk fabric with raised patterns,brokate
Biserial,In two rows or columns,biserial
Antejentacular,Before breakfast,antejentakular
Zamarra,Sheepskin jacket,samara
Exallotriote,Foreign,eksalotriote
Jarvey,Hackney-coach,jarfe
Lux,Unit of illumination equal to one lumen per square meter,luks
Rhyton,Drinking cup with hole in the point to drink by,rhton
Zelotic,Of the nature of a zealot,selotik
Phacometer,Instrument for measuring lenses,fakometer
Karyokinesis,Division of cell nucleus,karyokinesis
Caparison,Ornamented covering for a horse,kaparison
Pelma,Sole of foot,pelma
Philosophicide,One who kills or wishes to kill philosophers or philosophy,filosofisite
Kudu,African antelope with spiralling horns,kutu
Xenomania,Inordinate attachment to foreign things,senomania
Ectypography,Etching in relief,ektpokraf
Joculator,Professional jester or minstrel,jokulator
Ambulophobia,Fear of walking,ambulofobia
Nexus,A bond; a linked group,neksus
Roup,Poultry disease,roup
Eidolon,"Image, phantom or apparition; confusing reflected image",eitolon
Jupon,Sleeveless jacket worn beneath a hauberk,jupon
Serge,Strong twilled worsted,serje
Autarchy,Government by an absolute ruler,autarksh
Excrementitial,"Of, like or pertaining to excrement",ekskrementixial
Aliicide,Killing of someone other than oneself; murder,alisite
Borasco,Violent wind squall,borasko
Jurant,Taking an oath; one who takes an oath,jurant
Zootrophy,Feeding or tending of animals,sotrof
Od,Mild oath,ot
Vituperation,Abuse; rejection,fituperaxion
Lumen,Unit of luminous flux,lumen
Lexiphanic,Bombastic; sesquipedalian; using many long words,leksifanik
Wight,Nimble; strong; courageous,wit
Antechapel,Anteroom to a chapel or church,antekshapel
Jessant,"In heraldry, overlying",jesant
Infundibuliform,Having the form or shape of a funnel or cone,infuntibuliform
Uriniferous,Bearing urine,uriniferous
Angelocracy,Government by angels,anjelokras
Elflock,Lock of tangled hair,elflok
Flews,Drooping or pendulous lips,fles
Ichthyolatry,The worship of fish,ikshthyolatr
Musicaster,A mediocre musician,musikaster
Oniscoid,Like a woodlouse,oniskoit
Omnigatherum,Miscellaneous assemblage or collection,omnikatherum
Dyschroa,Discoloration of the skin,tskhroa
Quahog,Type of edible clam,kuahok
Bletherskate,A garrulous talker of nonsense,bletherskate
Jolley,Guide for fixing a pottery mould for plates,jole
Nativism,Belief that the mind possesses inborn thoughts,natifism
Algicide,Killer of algae,aljisite
Hygric,"Of, like or pertaining to water or moisture",hkrik
Pelitic,Composed of fine sediment,pelitik
Psychogenetics,Study of internal or mental states,pskshojenetiks
Transcalent,Pervious to or allowing the passage of heat,transkalent
Zenzizenzizenzic,Eighth power of a number,senzizenzizenzik
Dontopedalogy,Putting one's foot in one's mouth,tontopetaloj
Ivi,Tahitian chestnut tree,ifi
Gabbro,Granular igneous rock,kabro
Squatterarchy,Government by squatters; squattocracy,skuaterarksh
Entozoology,Study of parasites that live inside larger organisms,entosoloj
Bijugate,Having heads on both sides of a coin,bijukate
Afterhand,Subsequently,afterhant
Zabaglione,Frothy custard,sabaklione
Odeum,A usually small theatre or concert hall,oteum
Seg,Stud or metal plate in sole of a shoe to prevent wear,sek
Stegophilist,One who climbs buildings for sport,stekofilist
Diagraph,Instrument for enlarging or projecting drawings,xiakraf
Angiography,Description or examination of the blood vessels,anjiokraf
Infarction,Tissue dying due to lack of blood flow,infarkxion
Oscitate,To yawn,ossitate
Zoysia,Perennial subtropical grass,soksia
Onomastics,Study of proper names,onomastiks
Immunogenetics,Study of genetic characteristics of immunity,imunojenetiks
Haptotropic,Curving in response to touch,haptotropik
Gangway,Either of the sides of the upper deck of a ship,kankwa
Nearabout,Nearby; in the vicinity,nearabout
Similative,Indicating similarity to,similatife
Dun,Dull greyish brown,"tun,"
Biduous,Lasting two days,bituous
Ultraism,Holding extreme opinions on a subject,ultraism
Glyptography,The art of engraving on gems,klptokraf
Interamnian,Between two rivers,interamnian
Indumentum,"Total body covering of hair, fur or feathers",intumentum
Jougs,Iron collar attached to post and put around neck as punishment,jouks
Pone,Card player on dealer's right responsible for cutting cards,pone
Apophthegm,Brief saying; proverb; epigram,apofthekm
Zendalet,Large black woollen shawl worn over the head or shoulders,sentalet
Lustrum,Period of five years; periodic purification of Roman empire,lustrum
Threnody,Ode or song of lamentation; lament; dirge,threnot
Momus,Satirist; critic,momus
Desiderium,Longing or yearning,tesiterium
Opiomania,Craving for opium,opiomania
Nasology,Study of the nose,nasoloj
York,Strap used to tie trouser legs beneath the knee,york
Zuche,Tree stump,sukshe
Malleiform,Shaped like a hammer,maleiform
Irenicon,Proposal to promote peace between rival churches,irenikon
Blepharal,"Of, like or pertaining to eyelids",blefaral
Oecodomic,"Of, like or pertaining to architecture",oekotomik
